Num,Action,Dialogues,Function,n,l,ml,n2,l2,ml2,Plane,Wait
1,Dialogue,Orbitals can have positive and negative phases.,,,,,,,,,
2,Function,,ORB,2,1,0,,,,,
3,Next,,,,,,,,,,
4,Dialogue,"Here, the positive phase is pink, and the negative phase is blue.",,,,,,,,,
5,Next,,,,,,,,,,
6,Destroy,,ORB,,,,,,,,
7,Dialogue,Let’s look at a slice of a different orbital.,,,,,,,,,
8,Function,,CS,3,0,0,,,,XZ,
9,Next,,,,,,,,,,
10,Dialogue,"The graph you see is the real part of the wave function, Ψ, of the orbital. Ψ has no physical meaning.",,,,,,,,,
11,Function,,PSI,3,0,0,,,,,
12,Next,,,,,,,,,,
13,Dialogue,"Where the wave function is positive, it creates a pink, positive phase, and vice versa.",,,,,,,,,
14,Next,,,,,,,,,,
15,Dialogue,But what about when it is zero?,,,,,,,,,
16,Next,,,,,,,,,,
17,Dialogue,Find out in the next module.,,,,,,,,,
