Num,Action,Dialogues,Function,n,l,ml,n2,l2,ml2,Plane,Wait
1,Dialogue,"Like any other wave, orbitals have their ups and downs.",,,,,,,,,
2,Function,,ORB,3,0,0,,,,,
3,Next,,,,,,,,,,
4,Dialogue,"The number of ups and downs is the principal quantum number, n.",,,,,,,,,
5,Next,,,,,,,,,,
6,Dialogue,"Where the wave function becomes 0, there is a “node.”  Orbitals have as many nodes as n - 1.",,,,,,,,,
7,Function,,RN,3,0,0,,,,,
8,Next,,,,,,,,,,
9,Dialogue,"One type of node is the radial node, which is spherical.",,,,,,,,,
10,Next,,,,,,,,,,
11,Destroy,,ORB,,,,,,,,
12,Destroy,,RN,,,,,,,,
13,Dialogue,They can be seen more clearly in a cross section.,,,,,,,,,
14,Function,,CS,3,0,0,,,,XZ,
15,Function,,CSRN,3,0,0,,,,XZ,
16,Next,,,,,,,,,,
17,Dialogue,This graph shows Ψ² against the distance from the nucleus.,,,,,,,,,
18,Function,,PS,3,0,0,,,,,
19,Next,,,,,,,,,,
20,Dialogue,"If you take a snapshot of the orbital, the wave will collapse into a particle. You’ll be able to get the electron location.",,,,,,,,,
21,Next,,,,,,,,,,
22,Dialogue,"Although Ψ has no physical meaning, Ψ² shows how probable each point is.",,,,,,,,,
23,Next,,,,,,,,,,
24,Dialogue,Notice how the x-intercepts line up with the nodes.,,,,,,,,,
25,Next,,,,,,,,,,
26,Dialogue,The radii with no snapshot-probability form radial nodes.,,,,,,,,,
27,Next,,,,,,,,,,
28,Destroy,,CS,,,,,,,,
29,Destroy,,CSRN,,,,,,,,
30,Destroy,,PS,,,,,,,,
31,Dialogue,Many other orbitals have radial nodes.,,,,,,,,,
32,Function,,ORB,3,1,0,,,,,
33,Function,,RN,3,1,0,,,,,
34,Wait,,,,,,,,,,2
35,Destroy,,ORB,,,,,,,,
36,Destroy,,RN,,,,,,,,
37,Function,,ORB,2,0,0,,,,,
38,Function,,RN,2,0,0,,,,,
